freq,task,horizon,fold,model,n_samples,accuracy,balanced_accuracy,f1,positive_rate_pred,positive_rate_true,vocab_size,baseline_balanced_accuracy,baseline_accuracy,baseline_f1,balanced_accuracy_vs_baseline,accuracy_vs_baseline,f1_vs_baseline
15m,direction,4,1,last_sign,669,0.49177877428998507,0.49128979430237374,0.5142857137848327,0.5052316890881914,0.5411061285500748,,0.5,0.4588938714499253,0.0,-0.008710205697626261,0.03288490284005979,0.5142857137848327
15m,direction,4,1,majority_sign,669,0.4588938714499253,0.5,0.0,0.0,0.5411061285500748,,0.5,0.4588938714499253,0.0,0.0,0.0,0.0
15m,direction,4,1,numeric_relative,669,0.5440956651718983,0.5547267262943834,0.5024469815702199,0.375186846038864,0.5411061285500748,,0.5,0.4588938714499253,0.0,0.054726726294383354,0.08520179372197306,0.5024469815702199
15m,direction,4,1,symbolic_fine_body,669,0.5396113602391629,0.5307871578454838,0.599999999500226,0.6098654708520179,0.5411061285500748,200.0,0.5,0.4588938714499253,0.0,0.030787157845483804,0.08071748878923762,0.599999999500226
15m,direction,4,2,last_sign,669,0.47085201793721976,0.4709712766530744,0.486956521238429,0.4962630792227205,0.5351270553064275,,0.5,0.5351270553064275,0.6971762410245322,-0.029028723346925578,-0.0642750373692077,-0.21021971978610327
15m,direction,4,2,majority_sign,669,0.5351270553064275,0.5,0.6971762410245322,1.0,0.5351270553064275,,0.5,0.5351270553064275,0.6971762410245322,0.0,0.0,0.0
15m,direction,4,2,numeric_relative,669,0.4992526158445441,0.4975075895022364,0.5275035255916495,0.5246636771300448,0.5351270553064275,,0.5,0.5351270553064275,0.6971762410245322,-0.0024924104977636086,-0.035874439461883345,-0.16967271543288276
15m,direction,4,2,symbolic_fine_body,669,0.4992526158445441,0.49180872658032293,0.5609436430128777,0.6053811659192825,0.5351270553064275,205.0,0.5,0.5351270553064275,0.6971762410245322,-0.00819127341967707,-0.035874439461883345,-0.13623259801165455
15m,direction,4,3,last_sign,669,0.4693572496263079,0.46928350524678664,0.4756277690702356,0.5067264573991032,0.5052316890881914,,0.5,0.5052316890881914,0.6713008932964817,-0.030716494753213364,-0.035874439461883456,-0.1956731242262461
15m,direction,4,3,majority_sign,669,0.5052316890881914,0.5,0.6713008932964817,1.0,0.5052316890881914,,0.5,0.5052316890881914,0.6713008932964817,0.0,0.0,0.0
15m,direction,4,3,numeric_relative,669,0.5097159940209267,0.5052512558322458,0.6576200412956054,0.9267563527653214,0.5052316890881914,,0.5,0.5052316890881914,0.6713008932964817,0.005251255832245838,0.004484304932735328,-0.01368085200087632
15m,direction,4,3,symbolic_fine_body,669,0.49177877428998507,0.4886260033250505,0.6109839812176269,0.8011958146487295,0.5052316890881914,206.0,0.5,0.5052316890881914,0.6713008932964817,-0.011373996674949483,-0.013452914798206317,-0.06031691207885481
1h,direction,1,1,last_sign,336,0.5,0.4991304347826087,0.47826086906224685,0.4791666666666667,0.4791666666666667,,0.5,0.4791666666666667,0.6478873235030465,-0.0008695652173912882,0.020833333333333315,-0.1696264544407996
1h,direction,1,1,majority_sign,336,0.4791666666666667,0.5,0.6478873235030465,1.0,0.4791666666666667,,0.5,0.4791666666666667,0.6478873235030465,0.0,0.0,0.0
1h,direction,1,1,numeric_relative,336,0.5029761904761905,0.5106832298136645,0.5728900250880881,0.6845238095238095,0.4791666666666667,,0.5,0.4791666666666667,0.6478873235030465,0.010683229813664541,0.02380952380952378,-0.07499729841495839
1h,direction,1,1,symbolic_no_volume,336,0.5476190476190477,0.5522981366459627,0.5846994530559437,0.6101190476190477,0.4791666666666667,31.0,0.5,0.4791666666666667,0.6478873235030465,0.05229813664596272,0.06845238095238099,-0.06318787044710272
1h,direction,1,2,last_sign,336,0.4732142857142857,0.4680687309826383,0.41584158365567647,0.4523809523809524,0.4494047619047619,,0.5,0.4494047619047619,0.6201232028550274,-0.03193126901736171,0.02380952380952378,-0.20428161919935095
1h,direction,1,2,majority_sign,336,0.4494047619047619,0.5,0.6201232028550274,1.0,0.4494047619047619,,0.5,0.4494047619047619,0.6201232028550274,0.0,0.0,0.0
1h,direction,1,2,numeric_relative,336,0.5416666666666666,0.5624843386432791,0.601036268950616,0.6994047619047619,0.4494047619047619,,0.5,0.4494047619047619,0.6201232028550274,0.06248433864327907,0.09226190476190471,-0.019086933904411407
1h,direction,1,2,symbolic_no_volume,336,0.5208333333333334,0.5368713083944872,0.5660377353633002,0.6547619047619048,0.4494047619047619,31.0,0.5,0.4494047619047619,0.6201232028550274,0.03687130839448716,0.07142857142857145,-0.05408546749172727
1h,direction,1,3,last_sign,336,0.48214285714285715,0.48184912081678954,0.49418604600875476,0.5119047619047619,0.5119047619047619,,0.5,0.5119047619047619,0.6771653538801538,-0.018150879183210455,-0.02976190476190471,-0.182979307871399
1h,direction,1,3,majority_sign,336,0.5119047619047619,0.5,0.6771653538801538,1.0,0.5119047619047619,,0.5,0.5119047619047619,0.6771653538801538,0.0,0.0,0.0
1h,direction,1,3,numeric_relative,336,0.49702380952380953,0.49751843448667044,0.49249249199008027,0.4791666666666667,0.5119047619047619,,0.5,0.5119047619047619,0.6771653538801538,-0.0024815655133295644,-0.014880952380952328,-0.18467286189007348
1h,direction,1,3,symbolic_no_volume,336,0.5208333333333334,0.5254537719795802,0.4145454540739174,0.30654761904761907,0.5119047619047619,31.0,0.5,0.5119047619047619,0.6771653538801538,0.02545377197958021,0.008928571428571508,-0.26261989980623635
